Ser,locations,sites,Season,Date,Temperature oC,Conductivity µS/cm,Salinity %0,D.O mg/l,pH,Turbidity NTU,TSS mg/l,Ammonia µg/l,Nitrate  µg/l,Nitrite  µg/l,Phosphate  µg/l,Silicate  µg/l,Alkalinity as CaCO3 mg/l,Chlorophyl-? µg/l,Hydrocarbon µg/l,TOC mg/l,
160,Al Gazara,12,1,18-Jan-09,16.55," 64,540 ",43.68,7.12,7.76,3.34,3.83,4.527,30.000,1.170,0.888,34.537,130.52,0.595,1.593,,
161,Dam,13,1,18-Jan-09,16.44," 64,640 ",41.90,7.30,7.72,1.41,3.43,4.221,32.700,0.526,1.100,28.908,128.48,0.404,7.123,,
162,Fa'ash,11,1,18-Jan-09,16.79," 61,200 ",41.10,7.03,7.76,2.21,3.90,3.650,23.700,0.442,1.451,33.247,129.76,1.062,2.500,,
163,Marina Club,15,1,18-Jan-09,15.87," 61,800 ",41.60,7.21,7.75,8.26,16.73,3.567,37.400,1.034,4.794,34.471,122.68,0.869,1.027,,
164,Qita’at Jaradah,14,1,18-Jan-09,16.35," 64,100 ",43.30,7.32,7.64,1.02,2.00,5.113,24.200,0.704,0.385,25.614,134.20,0.425,0.532,,
165,Suhain,10,1,18-Jan-09,16.47," 61,200 ",41.10,7.18,7.77,2.31,4.00,3.383,21.100,0.739,5.613,26.775,129.52,0.944,1.184,,
166,Askar,6,1,19-Jan-09,16.15," 61,700 ",41.60,7.73,7.76,1.38,10.00,44.704,5.600,0.000,2.521,32.307,128.36,0.116,1.963,,
167,Bapco,8,1,19-Jan-09,16.72," 61,300 ",41.10,7.66,7.83,3.24,2.55,17.921,5.100,2.254,5.843,29.603,122.08,0.678,1.217,,
168,Fasht Tighalib,4,1,19-Jan-09,15.72," 63,800 ",43.00,7.48,7.75,3.32,7.74,5.415,4.200,1.048,0.099,13.130,123.80,0.349,1.682,,
169,Ghumais,5,1,19-Jan-09,15.84," 62,400 ",42.00,7.70,7.76,2.20,3.83,7.475,5.300,0.000,0.620,0.000,123.16,0.116,1.471,,
170,Jabbari,3,1,19-Jan-09,15.64," 66,600 ",45.30,7.93,7.76,2.08,3.02,13.530,3.000,1.738,0.012,5.520,128.24,0.329,0.424,,
171,Mashtan,2,1,19-Jan-09,15.62," 65,800 ",44.50,7.48,7.75,1.87,3.94,3.880,1.200,3.678,0.000,32.102,123.12,0.404,2.112,,
172,Msoor,7,1,19-Jan-09,16.14," 61,200 ",41.10,7.76,7.80,1.53,10.00,7.191,6.000,0.000,1.322,19.578,125.20,0.000,0.314,,
173,Qassar Noon,1,1,19-Jan-09,15.58," 70,100 ",47.80,7.51,7.71,3.44,5.79,7.908,2.700,2.394,0.285,9.987,125.92,0.329,1.045,,
174,Al Jarim,16,1,20-Jan-09,16.34," 64,200 ",43.40,7.68,8.05,3.52,3.57,6.449,1.700,0.000,1.713,20.936,125.84,0.329,2.439,,
175,Bartafi,19,1,20-Jan-09,15.13," 72,500 ",49.70,8.10,7.65,1.56,2.64,5.823,2.100,0.551,0.148,5.614,126.40,0.000,0.419,,
176,Khor fasht,17,1,20-Jan-09,15.29," 65,200 ",44.10,7.51,7.73,2.43,2.46,9.467,3.000,0.159,0.337,19.023,120.12,0.000,1.611,,
177,Marwada,18,1,20-Jan-09,15.31," 69,200 ",47.20,7.36,7.40,2.66,3.66,10.541,3.100,0.363,0.247,16.193,124.80,0.000,2.500,,
178,Al Jasra,23,1,28-Jan-09,17.03," 72,800 ",50.00,5.94,7.88,2.35,10.56,7.455,15.500,0.345,0.000,27.411,126.68,0.096,0.670,,
179,Jazirat Ya’suf,22,1,28-Jan-09,16.75," 74,800 ",51.50,6.03,7.90,4.91,2.23,8.443,17.700,0.775,0.000,13.289,123.72,0.116,0.444,,
180,Qassar,20,1,28-Jan-09,16.40," 81,700 ",56.90,6.15,7.43,2.64,10.83,6.342,17.100,0.530,0.000,18.471,126.76,0.212,0.467,,
181,Umm Al na'asan,21,2,28-Jan-09,16.12," 78,600 ",54.40,6.13,7.87,1.18,2.43,7.350,19.100,0.367,0.000,21.633,127.72,0.212,0.673,,
182,Al Jarim,16,2,19-Apr-09,23.60," 62,600 ",42.10,9.63,7.91,0.80,3.70,1.832,10.104,0.066,3.574,10.147,110.25,0.000,0.424,,
183,Bartafi,19,2,19-Apr-09,24.00," 71,900 ",49.20,9.16,7.94,0.90,7.10,14.941,15.411,2.046,0.506,9.372,115.70,0.794,0.589,,
184,Khor fasht,17,2,19-Apr-09,23.74," 67,600 ",45.90,ND,7.92,1.20,7.50,4.160,12.254,0.949,2.292,13.054,113.59,0.116,0.580,,
185,Marina Club,15,2,19-Apr-09,24.25," 64,600 ",43.60,6.95,8.25,1.80,5.80,4.939,3.919,0.118,2.877,6.118,110.66,0.794,0.575,,
186,Marwada,18,2,19-Apr-09,23.81," 72,400 ",49.20,ND,7.91,1.20,6.40,2.927,15.394,0.575,0.808,7.082,114.03,0.116,0.737,,
187,Al Gaha,9,2,20-Apr-09,25.41," 63,100 ",42.30,6.53,8.21,2.00,5.40,3.489,0.000,1.260,2.886,8.662,109.11,1.951,0.417,,
188,Al Gazara,12,2,20-Apr-09,24.21," 63,200 ",42.60,5.90,8.01,0.40,3.20,1.737,0.000,0.367,0.802,15.734,112.44,0.212,0.409,,
189,Dam,13,2,20-Apr-09,24.15," 63,600 ",42.90,5.81,7.98,0.60,3.70,0.253,0.000,2.058,0.367,10.977,113.05,0.308,0.464,,
190,Fa'ash,11,2,20-Apr-09,24.53," 63,100 ",42.26,5.77,8.11,0.20,3.60,27.877,12.246,1.245,3.458,17.586,114.93,0.308,0.473,,
191,Qita’at Jaradah,14,2,20-Apr-09,24.28," 65,100 ",44.00,5.92,8.06,0.50,4.70,15.178,0.000,0.625,0.419,10.812,114.23,0.712,0.700,,
192,Suhain,10,2,20-Apr-09,24.63," 63,200 ",42.60,5.23,8.06,1.00,3.10,0.000,4.024,1.974,6.492,32.905,109.58,0.192,0.526,,
193,Al Jasra,23,2,21-Apr-09,24.08," 74,000 ",50.80,6.06,8.11,1.30,5.60,6.828,1.230,0.000,0.071,18.299,115.18,0.085,0.413,,
194,Jazirat Ya’suf,22,2,21-Apr-09,23.80," 74,500 ",53.50,6.22,8.10,1.00,7.00,2.605,1.455,0.000,0.169,26.957,116.13,0.310,0.324,,
195,Qassar,20,2,21-Apr-09,23.70," 80,100 ",55.60,6.22,7.96,0.70,5.80,4.869,0.000,0.334,0.146,29.013,112.95,0.091,0.324,,
196,Umm Al na'asan,21,2,21-Apr-09,23.21," 77,300 ",53.40,6.15,7.92,0.80,4.70,5.303,0.000,0.000,0.190,27.167,109.81,0.655,0.419,,
197,Askar,6,2,22-Apr-09,24.40," 64,400 ",43.50,6.19,8.19,5.50,9.10,5.729,0.000,1.465,2.657,10.673,111.40,1.125,0.630,,
198,Bapco,8,2,22-Apr-09,24.41," 64,300 ",43.40,6.50,8.27,0.90,10.50,36.003,3.218,1.352,4.175,17.194,112.00,2.668,1.005,,
199,Fasht Tighalib,4,2,22-Apr-09,24.03," 65,500 ",44.30,6.29,8.11,1.60,6.60,4.633,0.000,0.154,0.334,9.381,113.72,0.256,0.419,,
200,Ghumais,5,2,22-Apr-09,24.09," 65,140 ",44.30,6.50,8.08,0.80,3.50,5.133,2.876,0.488,0.110,17.338,113.46,0.418,0.310,,
201,Jabbari,3,2,22-Apr-09,24.32," 66,700 ",45.20,6.15,8.16,0.90,4.00,6.310,2.763,0.000,0.344,22.454,113.05,0.000,1.154,,
202,Mashtan,2,2,22-Apr-09,24.00," 67,500 ",45.90,6.47,8.02,0.70,4.60,3.739,0.412,0.251,0.000,23.049,115.72,0.081,0.413,,
203,Msoor,7,2,22-Apr-09,23.82," 64,300 ",43.50,6.35,8.19,0.70,3.30,5.738,2.218,0.137,1.074,3.486,113.50,0.023,0.434,,
204,Qassar Noon,1,2,22-Apr-09,24.01," 70,300 ",48.00,6.35,8.15,1.00,5.60,9.791,8.225,0.612,0.000,27.052,113.91,0.000,0.413,,
205,Askar,6,3,5-Jul-09,31.38," 64,150 ",43.35,6.37,7.89,2.20,7.28,8.821,8.520,1.108,0.000,40.288,115.28,0.423,0.739,,
206,Bapco,8,3,5-Jul-09,32.05," 63,890 ",43.19,6.07,7.88,3.03,7.71,9.719,7.000,1.115,0.878,34.659,109.42,0.687,0.682,,
207,Fasht Tighalib,4,3,5-Jul-09,32.32," 65,740 ",44.59,5.40,7.93,2.71,1.31,8.414,12.000,1.468,0.000,61.664,112.89,0.140,0.716,,
208,Ghumais,5,3,5-Jul-09,32.36," 64,240 ",43.44,5.56,7.99,1.56,3.15,7.787,7.800,0.709,0.000,46.331,110.89,0.292,1.514,,
209,Jabbari,3,3,5-Jul-09,32.16," 66,060 ",44.87,5.23,7.88,1.86,4.26,6.571,11.730,0.884,0.000,66.029,114.16,0.527,1.671,,
210,Mashtan,2,3,5-Jul-09,32.64," 67,520 ",45.96,5.74,7.88,2.06,4.47,6.490,7.520,0.816,0.000,92.561,109.65,0.354,0.619,,
211,Msoor,7,3,5-Jul-09,31.93," 63,750 ",43.06,6.15,8.13,2.26,3.33,29.831,21.020,2.315,0.000,37.221,124.21,0.216,1.994,,
212,Qassar Noon,1,3,5-Jul-09,32.34," 69,870 ",42.21,5.25,7.82,3.36,4.95,8.292,3.467,0.233,0.000,109.298,113.11,0.233,0.478,,
213,Al Gaha,9,3,6-Jul-09,ND, ND ,ND,ND,ND,2.51,3.55,2.782,41.700,1.044,0.170,27.823,105.23,0.070,1.064,,
214,Al Gazara,12,3,6-Jul-09,32.44," 62,560 ",42.18,5.52,7.96,2.02,3.82,5.184,4.300,0.000,0.000,262.057,107.39,0.000,0.446,,
215,Dam,13,3,6-Jul-09,32.44," 62,430 ",42.08,5.83,8.00,1.10,2.31,3.983,5.410,0.372,0.000,16.317,111.20,0.077,0.682,,
216,Fa'ash,11,3,6-Jul-09,32.31," 62,980 ",42.46,4.99,7.90,1.22,6.10,5.566,37.800,1.123,0.000,17.135,106.15,0.254,1.053,,
217,Qita’at Jaradah,14,3,6-Jul-09,32.33," 62,220 ",41.99,5.46,8.07,4.16,3.66,3.753,4.780,0.648,0.000,15.850,104.76,0.282,0.731,,
218,Suhain,10,3,6-Jul-09,32.00, ND ,ND,ND,ND,1.91,4.62,7.565,66.890,1.432,0.763,23.053,113.81,0.000,0.478,,
219,Al Jarim,16,3,7-Jul-09,31.74," 63,840 ",43.11,5.90,7.97,1.66,2.86,4.428,4.190,1.386,0.000,34.125,109.42,0.314,0.747,,
220,Bartafi,19,3,7-Jul-09,32.32," 69,250 ",47.20,5.07,7.85,3.10,10.87,7.052,49.360,2.293,0.000,46.417,107.04,0.529,0.738,,
221,Khor fasht,17,3,7-Jul-09,31.98," 64,800 ",43.86,5.49,7.97,2.69,8.72,4.855,18.180,1.075,0.000,30.567,106.47,0.771,7.574,,
222,Marina Club,15,3,7-Jul-09,31.83," 66,780 ",45.38,4.76,7.85,1.62,4.42,10.323,11.250,1.111,0.000,58.345,107.58,2.375,0.450,,
223,Marwada,18,3,7-Jul-09,32.13," 66,380 ",45.06,5.43,7.91,2.43,7.37,4.119,22.420,1.626,0.000,43.532,107.17,1.360,2.840,,
224,Al Jasra,23,3,8-Jul-09,32.01," 73,570 ",50.51,5.22,7.89,0.99,4.77,8.591,5.020,0.614,17.440,73.188,115.02,0.125,0.473,,
225,Jazirat Ya’suf,22,3,8-Jul-09,32.17," 76,460 ",52.70,5.53,7.88,1.27,3.24,7.738,6.720,1.365,21.025,120.743,111.46,0.000,11.700,,
226,Qassar,20,3,8-Jul-09,32.05," 78,430 ",54.21,5.40,7.96,2.22,4.11,9.025,0.000,2.067,14.722,142.855,113.18,1.057,14.163,,
227,Umm Al na'asan,21,3,8-Jul-09,31.72," 77,870 ",53.79,4.69,7.91,2.24,4.36,6.046,0.223,1.264,19.268,160.134,110.70,0.078,0.493,,
228,Al Gaha,9,4,11-Oct-09,30.13," 66,093 ",44.71,5.28,8.13,2.51,6.57,15.198,30.785,0.610,28.859,47.004,99.85,0.000,0.448,,
229,Al Gazara,12,4,11-Oct-09,30.20," 66,262 ",44.84,5.69,8.15,0.63,4.69,3.027,21.944,0.003,17.521,27.546,106.18,0.000,0.339,,
230,Dam,13,4,11-Oct-09,30.01," 66,190 ",44.80,5.76,8.14,0.82,5.20,4.920,12.684,0.000,17.781,31.891,117.02,0.681,0.482,,
231,Fa'ash,11,4,11-Oct-09,30.09," 66,068 ",44.70,5.83,8.13,2.17,5.16,7.488,16.343,0.043,31.899,48.313,103.32,0.000,0.438,,
232,Marina Club,15,4,11-Oct-09,30.21," 67,390 ",45.69,6.08,8.06,6.12,9.70,16.210,18.873,1.012,31.184,109.113,96.99,0.175,0.459,,
233,Qita’at Jaradah,14,4,11-Oct-09,30.04," 65,470 ",44.16,5.46,8.15,0.75,6.00,5.305,14.786,0.280,14.435,23.801,107.64,0.023,0.454,,
234,Suhain,10,4,11-Oct-09,30.03," 66,144 ",44.76,5.63,8.09,4.77,6.10,33.606,31.025,1.668,35.570,56.651,102.01,0.105,0.346,,
235,Al Jarim,16,4,12-Oct-09,29.59," 63,062 ",42.40,5.34,8.26,0.76,2.70,6.730,1.982,0.006,19.084,15.627,109.55,0.151,0.504,,
236,Bartafi,19,4,12-Oct-09,29.66," 74,060 ",51.15,5.55,8.14,0.95,4.90,11.005,40.721,1.924,24.725,28.122,108.50,0.326,0.532,,
237,Khor fasht,17,4,12-Oct-09,29.60," 68,753 ",46.80,5.92,8.19,1.03,7.10,7.739,9.079,1.713,21.258,33.874,104.78,0.516,0.336,,
238,Marwada,18,4,12-Oct-09,29.78," 71,674 ",49.10,5.61,8.17,1.07,9.70,9.900,15.608,1.041,24.035,26.492,108.18,0.384,0.425,,
239,Al Jasra,23,4,13-Oct-09,29.24," 78,977 ",54.94,5.50,8.17,2.20,12.70,N.D,14.977,0.960,ND,62.333,106.24,0.070,0.511,,
240,Jazirat Ya’suf,22,4,13-Oct-09,29.58," 80,946 ",56.51,5.40,8.17,2.00,4.60,N.D,17.748,0.099,ND,23.327,108.31,0.221,0.431,,
241,Qassar,20,4,13-Oct-09,29.70," 80,820 ",56.42,5.38,8.16,0.85,5.60,3.713,9.808,0.430,ND,11.451,108.02,0.175,0.529,,
242,Umm Al na'asan,21,4,13-Oct-09,29.77," 80,665 ",56.33,5.37,8.17,0.96,2.50,N.D,8.961,0.274,ND,10.674,107.80,0.268,0.407,,
243,Askar,6,4,14-Oct-09,29.19," 65,700 ",44.45,5.67,8.17,2.21,3.30,25.344,20.550,4.794,2.752,106.979,117.43,0.093,0.739,,
244,Bapco,8,4,14-Oct-09,30.24," 65,463 ",44.22,5.51,8.20,5.71,6.00,32.527,28.060,4.467,3.638,78.168,116.82,3.073,0.780,,
245,Fasht Tighalib,4,4,14-Oct-09,29.60," 67,821 ",46.07,5.55,8.19,1.10,3.00,27.018,23.330,3.688,ND,56.369,102.59,0.000,0.522,,
246,Ghumais,5,4,14-Oct-09,29.55," 66,540 ",45.09,5.59,8.20,1.30,12.40,9.836,7.760,2.076,0.023,55.706,115.40,0.000,0.557,,
247,Jabbari,3,4,14-Oct-09,29.70," 68,467 ",46.55,5.69,8.16,0.97,6.80,9.522,8.120,1.402,ND,63.831,105.54,0.000,0.564,,
248,Mashtan,2,4,14-Oct-09,29.70," 69,950 ",47.74,5.48,8.19,1.01,5.70,15.032,12.900,2.132,ND,64.678,157.63,0.175,0.420,,
249,Msoor,7,4,14-Oct-09,29.44," 65,614 ",44.37,5.63,8.20,2.11,7.60,12.246,10.320,1.926,0.568,57.526,115.52,0.256,0.348,,
250,Qassar Noon,1,4,14-Oct-09,29.90," 73,523 ",56.54,5.37,8.15,1.47,6.60,15.655,12.870,2.785,ND,91.684,105.61,0.697,0.437,,
251,Askar,6,1,1-Feb-10,19.15," 63,350 ",42.78,8.17,8.08,1.13,3.03,9.135,8.287,0.318,1.435,199.104,98.48,0.175,0.716,,
252,Bapco,8,1,1-Feb-10,19.69," 63,425 ",42.82,7.81,7.98,1.03,2.70,8.968,14.599,2.015,3.334,66.811,94.99,0.157,0.992,,
253,Fasht Tighalib,4,1,1-Feb-10,18.94," 65,171 ",44.12,7.68,8.11,0.94,2.24,2.400,4.641,1.732,0.669,24.873,98.39,0.467,0.461,,
254,Ghumais,5,1,1-Feb-10,18.59," 64,000 ",43.34,7.70,8.11,1.27,1.70,0.000,5.373,0.261,1.379,6.927,91.08,0.105,0.468,,
255,Jabbari,3,1,1-Feb-10,18.79," 65,523 ",44.45,7.40,8.08,0.74,1.84,0.000,5.850,0.000,0.000,14.190,96.80,0.112,0.493,,
256,Mashtan,2,1,1-Feb-10,18.97," 65,145 ",44.12,7.48,8.11,1.17,2.60,0.000,5.838,0.000,0.995,222.010,90.95,0.016,0.346,,
257,Msoor,7,1,1-Feb-10,19.67," 63,380 ",42.78,7.93,8.15,0.77,2.96,0.000,5.451,1.412,2.295,49.939,100.58,0.199,0.843,,
258,Qassar Noon,1,1,1-Feb-10,18.76," 67,658 ",46.02,7.51,8.09,0.67,3.54,0.261,6.018,0.000,0.116,108.420,105.19,0.000,0.422,,
259,Al Gaha,9,1,2-Feb-10,18.90," 63,170 ",42.64,7.84,7.76,1.14,2.22,16.479,12.096,1.282,3.073,23.973,102.21,0.119,0.692,,
260,Al Gazara,12,1,2-Feb-10,19.82," 62,800 ",42.36,7.47,8.09,3.33,10.30,20.740,3.532,2.736,1.834,346.732,104.53,0.483,0.422,,
261,Dam,13,1,2-Feb-10,18.98," 63,195 ",42.67,8.52,8.09,0.67,3.37,19.961,6.131,1.379,1.706,111.714,90.63,0.572,0.303,,
262,Fa'ash,11,1,2-Feb-10,18.88," 63,209 ",42.69,7.56,8.06,0.59,2.90,17.969,6.832,1.147,2.895,394.131,101.76,0.204,0.409,,
263,Qita’at Jaradah,14,1,2-Feb-10,18.95," 62,937 ",42.48,7.54,8.11,0.55,4.20,22.166,7.672,1.154,1.950,365.933,105.48,0.239,0.459,,
264,Suhain,10,1,2-Feb-10,18.93," 63,187 ",42.65,7.58,8.00,1.23,3.90,26.254,10.608,0.994,3.654,58.623,107.39,0.158,0.418,,
265,Al Jarim,16,1,3-Feb-10,19.37," 60,732 ",40.81,7.62,8.15,0.25,2.47,16.923,8.203,0.724,2.733,7.386,103.48,0.448,0.619,,
266,Bartafi,19,1,3-Feb-10,18.85," 67,258 ",45.73,7.19,8.11,2.09,11.44,17.279,9.324,1.362,1.482,121.062,104.78,0.438,0.627,,
267,Khor fasht,17,1,3-Feb-10,19.02," 64,289 ",43.48,7.66,8.13,2.66,24.55,17.618,8.230,0.617,1.660,104.952,102.30,0.168,0.433,,
268,Marina Club,15,1,3-Feb-10,19.03," 63,611 ",43.08,7.24,8.12,0.94,4.00,28.634,20.697,2.313,8.101,103.138,104.97,0.846,0.525,,
269,Marwada,18,1,3-Feb-10,18.87," 65,988 ",44.77,7.68,8.12,2.13,5.90,19.659,8.123,1.292,1.375,12.040,102.71,0.665,0.904,,
270,Al Jasra,23,1,4-Feb-10,ND," 73,940 ",51.06,6.78,8.02,3.29,14.80,46.469,6.120,2.026,1.215,42.044,97.69,0.719,0.719,,
271,Jazirat Ya’suf,22,1,4-Feb-10,ND," 76,377 ",53.02,6.63,8.00,4.12,12.60,12.745,4.918,1.318,0.727,160.219,95.88,0.596,0.454,,
272,Qassar,20,1,4-Feb-10,ND," 76,827 ",53.38,6.68,7.99,0.97,8.04,16.356,1.189,1.247,0.280,47.732,94.95,0.528,0.737,,
273,Umm Al na'asan,21,1,4-Feb-10,ND," 77,099 ",53.60,6.70,8.02,2.13,26.20,12.753,0.111,1.068,0.481,42.935,98.71,0.417,0.665,,
274,Askar,6,2,18-Apr-10,26.56," 62,858 ",42.40,6.24,7.97,4.17,6.25,19.617,18.083,1.506,3.100,105.161,94.51,1.176,1.313,,
275,Bapco,8,2,18-Apr-10,26.70," 63,236 ",42.69,5.85,7.87,5.41,16.60,36.927,28.487,3.072,5.729,64.368,98.55,0.734,1.232,,
276,Fasht Tighalib,4,2,18-Apr-10,26.62," 64,993 ",44.99,6.42,8.06,1.62,3.47,38.512,12.942,1.235,1.585,24.731,96.89,0.233,0.466,,
277,Ghumais,5,2,18-Apr-10,26.15," 63,908 ",43.16,6.51,8.04,2.57,5.10,35.449,9.556,0.160,1.593,15.389,91.87,0.306,0.422,,
278,Jabbari,3,2,18-Apr-10,26.32," 65,474 ",44.36,6.32,8.08,1.13,3.81,37.157,8.418,0.255,2.524,27.918,104.59,0.391,0.579,,
279,Mashtan,2,2,18-Apr-10,26.72," 65,629 ",44.49,6.74,8.10,1.27,3.09,35.518,10.909,1.519,2.033,37.526,96.48,0.000,0.945,,
280,Msoor,7,2,18-Apr-10,26.62," 62,974 ",42.50,6.56,8.05,3.25,6.70,35.607,14.122,0.478,2.310,16.223,92.38,0.849,0.459,,
281,Qassar Noon,1,2,18-Apr-10,26.44," 67,314 ",45.75,6.64,8.09,0.80,3.26,10.887,5.086,0.018,1.934,56.579,94.64,0.000,0.836,,
282,Al Gaha,9,2,19-Apr-10,26.29," 63,074 ",42.57,7.02,8.10,1.29,4.43,10.519,20.565,1.678,3.824,43.349,108.60,0.122,0.325,,
283,Al Gazara,12,2,19-Apr-10,25.27," 63,030 ",42.54,6.81,8.11,0.64,3.13,8.119,5.935,0.000,0.315,11.825,99.23,2.213,0.322,,
284,Dam,13,2,19-Apr-10,25.76," 63,114 ",42.59,6.78,8.11,1.25,2.92,9.825,4.138,0.323,0.712,45.562,97.82,0.012,0.425,,
285,Fa'ash,11,2,19-Apr-10,25.55," 63,011 ",42.51,6.82,8.10,3.02,9.32,11.150,9.178,0.897,1.417,25.040,108.25,0.128,0.317,,
286,Qita’at Jaradah,14,2,19-Apr-10,26.06," 63,380 ",42.80,6.52,8.13,1.23,3.85,20.437,0.000,0.281,0.234,24.160,94.67,0.105,0.585,,
287,Suhain,10,2,19-Apr-10,25.74," 63,121 ",42.58,6.62,8.09,2.14,5.26,9.460,14.860,0.756,3.865,37.747,102.87,0.306,0.544,,
288,Al Jarim,16,2,20-Apr-10,25.59," 61,248 ",41.20,6.78,8.18,0.85,3.60,2.169,5.662,0.840,1.522,104.223,100.55,0.000,0.446,,
289,Khor fasht,17,2,20-Apr-10,26.01," 67,246 ",45.71,6.08,8.10,3.59,16.33,10.612,2.562,1.416,1.379,15.481,95.24,0.000,0.477,,
290,Marina Club,15,2,20-Apr-10,25.82," 64,932 ",43.94,6.07,8.15,2.12,4.90,8.206,8.501,2.528,4.476,74.420,99.06,0.456,0.644,,
291,Marwada,18,2,20-Apr-10,26.09," 67,669 ",46.03,6.13,8.09,1.47,5.20,7.458,5.174,1.187,1.597,15.866,95.65,0.527,0.416,,
292,Al Jasra,23,2,21-Apr-10,26.45," 77,159 ",53.58,4.82,8.02,1.87,12.42,5.041,3.178,0.471,0.792,65.182,102.46,0.410,0.446,,
293,Bartafi,19,2,21-Apr-10,26.30," 74,645 ",51.57,4.90,8.01,2.39,21.53,4.632,14.341,1.052,0.762,3.568,97.66,0.373,0.437,,
294,Jazirat Ya’suf,22,2,21-Apr-10,25.46," 77,853 ",54.16,4.94,7.92,3.35,24.30,3.185,1.822,0.343,0.086,36.591,99.69,0.383,0.230,,
295,Qassar,20,2,21-Apr-10,25.55," 77,041 ",53.15,6.19,8.18,0.72,3.60,2.700,0.943,0.061,0.174,24.204,102.30,0.302,0.635,,
296,Umm Al na'asan,21,2,21-Apr-10,25.16," 77,000 ",53.11,6.22,8.11,1.32,3.03,5.388,2.577,0.003,0.002,184.799,101.70,0.626,0.568,,
297,Al Jarim,16,3,5-Jul-10,31.64," 64,229 ",43.23,5.53,7.90,0.62,3.20,3.090,7.843,0.885,1.393,28.430,128.50,0.035,0.931,,
298,Khor fasht,17,3,5-Jul-10,31.36," 68,085 ",46.17,5.52,7.93,1.09,4.11,2.911,7.420,0.331,2.953,29.807,127.80,0.723,1.418,,
299,Marwada,18,3,5-Jul-10,31.40," 68,796 ",46.77,5.50,7.93,1.03,2.91,0.000,7.074,0.000,0.934,29.456,129.60,0.444,1.107,,
300,Al Jasra,23,3,6-Jul-10,32.06," 76,603 ",52.89,5.48,7.88,1.56,12.45,5.397,2.857,2.320,0.488,70.042,127.30,0.372,0.692,,
301,Bartafi,19,3,6-Jul-10,31.53," 73,274 ",50.31,5.38,7.78,0.94,3.43,4.743,17.064,3.167,0.915,35.966,129.80,0.715,0.656,,
302,Jazirat Ya’suf,22,3,6-Jul-10,31.33," 78,307 ",54.30,5.52,7.87,2.03,4.75,3.724,1.965,0.644,0.854,94.053,133.00,0.403,0.678,,
303,Marina Club,15,3,6-Jul-10,31.57," 66,999 ",45.36,5.54,7.93,1.44,8.28,6.081,4.629,0.486,2.251,53.946,125.70,1.146,0.603,,
304,Qassar,20,3,6-Jul-10,31.54," 78,339 ",54.30,5.27,7.89,1.72,16.84,5.546,1.549,0.342,1.599,85.385,133.70,0.338,1.013,,
305,Umm Al na'asan,21,3,6-Jul-10,31.20," 78,170 ",54.20,5.42,7.87,1.22,3.00,3.793,3.015,0.020,0.914,85.353,131.50,0.497,0.758,,
306,Askar,6,3,7-Jul-10,30.98," 65,471 ",44.20,5.66,8.05,1.16,3.64,13.876,1.511,0.078,2.002,71.858,126.90,0.613,0.515,,
307,Bapco,8,3,7-Jul-10,31.97," 65,270 ",44.03,5.52,8.09,1.23,4.27,14.449,11.410,0.891,1.731,79.326,128.20,0.777,2.068,,
308,Fasht Tighalib,4,3,7-Jul-10,31.41," 66,378 ",44.88,5.57,8.07,0.75,7.34,7.827,1.659,0.403,0.870,50.714,127.00,0.896,0.627,,
309,Ghumais,5,3,7-Jul-10,31.61," 65,950 ",44.45,5.55,8.09,0.99,10.63,7.504,0.000,1.665,0.384,41.834,125.70,0.637,0.320,,
310,Jabbari,3,3,7-Jul-10,31.24," 67,141 ",45.48,5.58,8.05,0.80,5.45,8.584,3.614,0.212,0.693,74.414,126.90,0.786,0.234,,
311,Mashtan,2,3,7-Jul-10,31.88," 68,290 ",46.35,5.45,8.06,0.44,4.41,8.951,0.000,0.230,0.923,89.024,126.50,0.609,0.218,,
312,Msoor,7,3,7-Jul-10,31.56," 65,376 ",44.10,5.57,8.08,2.23,11.16,13.773,7.379,0.428,0.841,45.854,128.80,0.951,0.709,,
313,Qassar Noon,1,3,7-Jul-10,31.72," 72,042 ",49.15,5.39,8.02,0.62,4.12,8.656,8.737,0.683,0.659,113.242,127.40,0.354,0.216,,
314,Al Gaha,9,3,8-Jul-10,32.64," 64,952 ",43.74,5.43,8.10,1.32,3.00,7.250,21.611,0.952,3.223,69.054,127.10,0.339,0.656,,
315,Al Gazara,12,3,8-Jul-10,32.32," 64,300 ",43.23,5.50,8.11,0.27,3.05,5.094,0.000,0.000,1.557,11.473,123.90,0.070,0.900,,
316,Dam,13,3,8-Jul-10,32.07," 64,416 ",43.33,5.52,8.11,0.40,3.50,3.375,0.000,0.000,1.268,11.607,129.90,0.120,0.836,,
317,Fa'ash,11,3,8-Jul-10,32.23," 63,836 ",42.93,5.51,8.08,1.10,7.14,4.457,0.000,0.000,1.327,13.706,128.00,0.166,1.114,,
318,Qita’at Jaradah,14,3,8-Jul-10,32.18," 64,084 ",43.11,5.51,8.09,0.52,3.96,4.583,0.000,0.088,1.134,11.453,129.50,0.436,0.206,,
319,Suhain,10,3,8-Jul-10,32.56," 64,239 ",43.18,5.45,8.00,0.54,4.40,5.994,25.006,1.673,5.545,45.497,128.60,0.190,0.800,,
320,Askar,6,4,10-Oct-10,31.58," 64,912 ",43.74,4.19,8.00,10.32,11.38,13.339,14.797,2.178,2.100,83.567,119.91,1.455,1.038,,
